,playerid,injury_start_date,injury_end_date,days_injured
0,489265,2009-03-27T00:00:00,2009-05-30T00:00:00,64
1,430161,2009-03-27T00:00:00,2009-11-03T00:00:00,221
2,433585,2009-03-27T00:00:00,2009-11-13T00:00:00,231
3,150061,2009-03-27T00:00:00,2009-04-27T00:00:00,31
4,407113,2009-03-27T00:00:00,2009-12-30T00:00:00,278
5,488798,2009-03-27T00:00:00,2009-05-05T00:00:00,39
6,435038,2009-03-27T00:00:00,2009-08-07T00:00:00,133
7,434704,2009-03-27T00:00:00,2009-04-13T00:00:00,17
8,425827,2009-03-30T00:00:00,2009-06-08T00:00:00,70
9,116414,2009-04-01T00:00:00,2009-05-18T00:00:00,47
10,150469,2009-04-01T00:00:00,2009-05-24T00:00:00,53
11,462945,2009-04-01T00:00:00,2009-10-29T00:00:00,211
12,450312,2009-04-01T00:00:00,2009-10-28T00:00:00,210
13,124693,2009-04-01T00:00:00,2009-11-06T00:00:00,219
14,424325,2009-04-01T00:00:00,2009-04-16T00:00:00,15
15,430606,2009-04-01T00:00:00,2009-06-08T00:00:00,68
16,435044,2009-04-02T00:00:00,2009-04-15T00:00:00,13
17,425818,2009-04-02T00:00:00,2009-11-10T00:00:00,222
18,114849,2009-04-02T00:00:00,2009-06-03T00:00:00,62
19,408045,2009-04-02T00:00:00,2009-05-01T00:00:00,29
20,430597,2009-04-02T00:00:00,2009-08-21T00:00:00,141
21,450313,2009-04-03T00:00:00,2009-05-13T00:00:00,40
22,400085,2009-04-03T00:00:00,2009-04-15T00:00:00,12
23,117276,2009-04-04T00:00:00,2009-06-02T00:00:00,59
24,407792,2009-04-04T00:00:00,2009-04-12T00:00:00,8
25,457733,2009-04-04T00:00:00,2009-11-05T00:00:00,215
26,456068,2009-04-04T00:00:00,2009-11-06T00:00:00,216
27,462995,2009-04-04T00:00:00,2009-06-04T00:00:00,61
28,429984,2009-04-04T00:00:00,2009-10-07T00:00:00,186
29,122477,2009-04-04T00:00:00,2009-06-25T00:00:00,82
30,457508,2009-04-04T00:00:00,2009-05-07T00:00:00,33
31,407793,2009-04-05T00:00:00,2009-05-16T00:00:00,41
32,450312,2009-04-05T00:00:00,2009-10-28T00:00:00,206
33,123790,2009-04-05T00:00:00,2009-11-05T00:00:00,214
34,430606,2009-04-05T00:00:00,2009-06-08T00:00:00,64
35,430657,2009-04-05T00:00:00,2009-11-01T00:00:00,210
36,276542,2009-04-05T00:00:00,2009-11-05T00:00:00,214
37,136268,2009-04-05T00:00:00,2009-06-27T00:00:00,83
38,430587,2009-04-05T00:00:00,2009-11-06T00:00:00,215
39,113898,2009-04-05T00:00:00,2009-06-06T00:00:00,62
