,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,playerid,injury_start_date,injury_end_date
0,0,0,0,456501,2019-02-13T00:00:00,2019-09-10T00:00:00
1,1,1,1,534910,2019-02-13T00:00:00,2019-09-03T00:00:00
2,2,2,2,640455,2019-02-13T00:00:00,2019-09-01T00:00:00
3,3,3,3,608665,2019-02-13T00:00:00,2019-11-04T00:00:00
4,4,4,4,592836,2019-02-13T00:00:00,2019-09-29T00:00:00
5,5,5,5,642759,2019-02-13T00:00:00,2019-10-19T00:00:00
6,6,6,6,605254,2019-02-15T00:00:00,2019-10-31T00:00:00
7,7,7,7,572070,2019-02-17T00:00:00,2019-09-16T00:00:00
8,8,8,8,608718,2019-02-19T00:00:00,2019-09-01T00:00:00
9,9,9,9,659275,2019-02-21T00:00:00,2019-07-04T00:00:00
10,10,10,10,500724,2019-02-23T00:00:00,2019-07-30T00:00:00
11,11,11,11,641771,2019-03-01T00:00:00,2019-11-04T00:00:00
12,12,12,12,620454,2019-03-01T00:00:00,2019-08-08T00:00:00
13,13,13,13,595981,2019-03-03T00:00:00,2019-07-03T00:00:00
14,14,14,14,611093,2019-03-11T00:00:00,2019-11-04T00:00:00
15,15,15,15,521692,2019-03-11T00:00:00,2019-11-04T00:00:00
16,16,16,16,656629,2019-03-11T00:00:00,2019-10-31T00:00:00
17,17,17,17,641871,2019-03-16T00:00:00,2019-08-27T00:00:00
18,18,18,18,542888,2019-03-18T00:00:00,2019-04-12T00:00:00
19,19,19,19,592815,2019-03-18T00:00:00,2019-07-15T00:00:00
20,20,20,20,572122,2019-03-18T00:00:00,2019-05-25T00:00:00
21,21,21,21,639373,2019-03-18T00:00:00,2019-06-23T00:00:00
22,22,22,22,543302,2019-03-19T00:00:00,2019-07-02T00:00:00
23,23,23,23,461872,2019-03-19T00:00:00,2019-04-02T00:00:00
24,24,24,24,605194,2019-03-19T00:00:00,2019-07-29T00:00:00
25,25,25,25,605361,2019-03-19T00:00:00,2019-05-28T00:00:00
26,26,26,26,656756,2019-03-23T00:00:00,2019-09-15T00:00:00
27,27,27,27,605242,2019-03-23T00:00:00,2019-10-31T00:00:00
28,28,28,28,517593,2019-03-24T00:00:00,2019-07-31T00:00:00
29,29,29,29,502171,2019-03-25T00:00:00,2019-04-04T00:00:00
30,30,30,30,576397,2019-03-25T00:00:00,2019-04-05T00:00:00
31,31,31,31,581527,2019-03-25T00:00:00,2019-11-04T00:00:00
32,32,32,32,502381,2019-03-25T00:00:00,2019-05-04T00:00:00
33,33,33,33,446399,2019-03-25T00:00:00,2019-11-01T00:00:00
34,34,34,34,444432,2019-03-25T00:00:00,2019-09-02T00:00:00
35,35,35,35,593372,2019-03-25T00:00:00,2019-05-17T00:00:00
36,36,36,36,642851,2019-03-25T00:00:00,2019-04-17T00:00:00
37,37,37,37,641656,2019-03-26T00:00:00,2019-04-04T00:00:00
38,38,38,38,445055,2019-03-26T00:00:00,2019-06-24T00:00:00
39,39,39,39,592647,2019-03-26T00:00:00,2019-07-23T00:00:00
40,40,40,40,592444,2019-03-26T00:00:00,2019-04-11T00:00:00
41,41,41,41,592665,2019-03-27T00:00:00,2019-05-21T00:00:00
42,42,42,42,606983,2019-03-27T00:00:00,2019-11-04T00:00:00
43,43,43,43,519076,2019-03-27T00:00:00,2019-05-24T00:00:00
44,44,44,44,605135,2019-03-27T00:00:00,2019-04-15T00:00:00
45,45,45,45,435062,2019-03-27T00:00:00,2019-04-04T00:00:00
46,46,46,46,572191,2019-03-27T00:00:00,2019-06-28T00:00:00
47,47,47,47,456665,2019-03-27T00:00:00,2019-04-04T00:00:00
48,48,48,48,593934,2019-03-27T00:00:00,2019-05-15T00:00:00
49,49,49,49,456030,2019-03-27T00:00:00,2019-04-09T00:00:00
50,50,50,50,621068,2019-03-27T00:00:00,2019-06-23T00:00:00
51,51,51,51,592833,2019-03-27T00:00:00,2019-11-04T00:00:00
52,52,52,52,622766,2019-03-27T00:00:00,2019-06-15T00:00:00
53,53,53,53,572403,2019-03-27T00:00:00,2019-04-07T00:00:00
54,54,54,54,664028,2019-03-27T00:00:00,2019-10-30T00:00:00
55,55,55,55,656798,2019-03-27T00:00:00,2019-11-11T00:00:00
56,56,56,56,608349,2019-03-27T00:00:00,2019-11-04T00:00:00
57,57,57,57,622382,2019-03-27T00:00:00,2019-04-24T00:00:00
58,58,58,58,543483,2019-03-27T00:00:00,2019-04-26T00:00:00
59,59,59,59,608671,2019-03-27T00:00:00,2019-07-22T00:00:00
60,60,60,60,622110,2019-03-27T00:00:00,2019-07-23T00:00:00
61,61,61,61,593523,2019-03-27T00:00:00,2019-04-25T00:00:00
62,62,62,62,621566,2019-03-27T00:00:00,2019-05-07T00:00:00
63,63,63,63,571697,2019-03-28T00:00:00,2019-08-27T00:00:00
64,64,64,64,650828,2019-03-28T00:00:00,2019-11-04T00:00:00
65,65,65,65,502026,2019-03-28T00:00:00,2019-04-16T00:00:00
66,66,66,66,493316,2019-03-28T00:00:00,2019-11-04T00:00:00
67,67,67,67,621345,2019-03-28T00:00:00,2019-05-10T00:00:00
